trainset,testset,segmentation,vocab_size,accuracy,best_shift
train-full-960,dev-clean,spc,100,68.1569060260599,0.0
train-full-960,dev-clean,vit,100,68.15448208994866,0.0
train-full-960,dev-other,spc,100,67.00160123975351,0.0
train-full-960,dev-other,vit,100,66.99758593166271,0.0
train-full-960,dev-clean,spc,250,37.782201604439415,0.0
train-full-960,dev-clean,vit,250,37.78163430024317,0.0
train-full-960,dev-other,spc,250,36.805670483198924,0.0
train-full-960,dev-other,vit,250,36.80518213491761,0.0
train-full-960,dev-clean,spc,500,21.43672366354735,0.0
train-full-960,dev-clean,vit,500,21.407945868865056,0.0
train-full-960,dev-other,spc,500,21.596226044482016,0.0
train-full-960,dev-other,vit,500,21.566870886683123,0.0
train-full-960,dev-clean,spc,1000,14.934334539284528,0.0
train-full-960,dev-clean,vit,1000,15.124072006374437,0.0
train-full-960,dev-other,spc,1000,15.306788529458526,0.0
train-full-960,dev-other,vit,1000,15.554381108083954,0.0
train-full-960,dev-clean,spc,2500,9.45402128422198,0.0
train-full-960,dev-clean,vit,2500,9.770783318162243,0.0
train-full-960,dev-other,spc,2500,9.791871388596633,0.0
train-full-960,dev-other,vit,2500,10.14885398223606,0.0
train-full-960,dev-clean,spc,5000,7.225701974476468,0.0
train-full-960,dev-clean,vit,5000,7.545300529397961,0.0
train-full-960,dev-other,spc,5000,7.565708617773599,0.0
train-full-960,dev-other,vit,5000,7.945318015113837,0.0
train-full-960,dev-clean,spc,10000,6.1394175848828905,0.0
train-full-960,dev-clean,vit,10000,6.3836678279211645,0.0
train-full-960,dev-other,spc,10000,6.544680883389484,0.0
train-full-960,dev-other,vit,10000,6.8639521375275585,0.0
train-full-960,dev-clean,spc,25000,5.127501618106288,0.0
train-full-960,dev-clean,vit,25000,5.371029837622067,0.0
train-full-960,dev-other,spc,25000,5.501080606224704,0.0
train-full-960,dev-other,vit,25000,5.811941417740174,0.0
train-full-960,dev-clean,spc,50000,4.496298340119495,0.0
train-full-960,dev-clean,vit,50000,4.752771409931434,0.0
train-full-960,dev-other,spc,50000,4.935681818305138,0.0
train-full-960,dev-other,vit,50000,5.249364197668191,0.0
